FIPS Code,State and area,Year,Month,Civilian non-institutional population,Civilian labor force Total,Civilian labor force Percent of population,Civilian labor force Employment Total,Civilian labor force Employment Percent of population,Civilian labor force Unemployment Total,Civilian labor force Unemployment Rate
1,Alabama,1983,1,2901000,1727660,59.6,1450406,50,277254,16
2,Alaska,1983,1,307000,218681,71.2,192653,62.8,26028,11.9
4,Arizona,1983,1,2156000,1357424,63,1196918,55.5,160506,11.8
5,Arkansas,1983,1,1708000,1005150,58.8,889458,52.1,115692,11.5
6,California,1983,1,18584000,12179099,65.5,10761793,57.9,1417306,11.6
37,Los Angeles County,1983,1,5869000,3786546,64.5,3357732,57.2,428814,11.3
8,Colorado,1983,1,2289000,1618669,70.7,1469474,64.2,149195,9.2
9,Connecticut,1983,1,2425000,1595539,65.8,1470598,60.6,124941,7.8
10,Delaware,1983,1,453000,292484,64.6,267068,59,25416,8.7
11,District of Columbia,1983,1,484000,307611,63.6,272401,56.3,35210,11.4
12,Florida,1983,1,8286000,4720739,57,4261409,51.4,459330,9.7
13,Georgia,1983,1,4119000,2656720,64.5,2422121,58.8,234599,8.8
15,Hawaii,1983,1,699000,468061,67,438381,62.7,29680,6.3
16,Idaho,1983,1,685000,443590,64.8,389878,56.9,53712,12.1
17,Illinois,1983,1,8568000,5547781,64.8,4789204,55.9,758577,13.7
18,Indiana,1983,1,4051000,2561149,63.2,2217359,54.7,343790,13.4
19,Iowa,1983,1,2158000,1411246,65.4,1265386,58.6,145860,10.3
20,Kansas,1983,1,1778000,1188220,66.8,1100821,61.9,87399,7.4
21,Kentucky,1983,1,2710000,1682671,62.1,1465496,54.1,217175,12.9
22,Louisiana,1983,1,3141000,1841266,58.6,1613842,51.4,227424,12.4
23,Maine,1983,1,848000,517084,61,465746,54.9,51338,9.9
24,Maryland,1983,1,3237000,2155819,66.6,1971830,60.9,183989,8.5
25,Massachusetts,1983,1,4457000,2957577,66.4,2711590,60.8,245987,8.3
26,Michigan,1983,1,6731000,4236589,62.9,3501620,52,734969,17.3
27,Minnesota,1983,1,3078000,2142916,69.6,1931396,62.7,211520,9.9
28,Mississippi,1983,1,1821000,1047049,57.5,912147,50.1,134902,12.9
29,Missouri,1983,1,3715000,2304371,62,2048693,55.1,255678,11.1
30,Montana,1983,1,593000,387412,65.3,348439,58.8,38973,10.1
31,Nebraska,1983,1,1169000,784364,67.1,726293,62.1,58071,7.4
32,Nevada,1983,1,665000,481259,72.4,423984,63.8,57275,11.9
33,New Hampshire,1983,1,715000,486881,68.1,450434,63,36447,7.5
34,New Jersey,1983,1,5749000,3606374,62.7,3253391,56.6,352983,9.8
35,New Mexico,1983,1,981000,597505,60.9,532007,54.2,65498,11
36,New York,1983,1,13508000,7923144,58.7,7133478,52.8,789666,10
51000,New York city,1983,1,5638000,3049988,54.1,2737489,48.6,312499,10.2
37,North Carolina,1983,1,4464000,2864594,64.2,2561005,57.4,303589,10.6
38,North Dakota,1983,1,484000,310663,64.2,287963,59.5,22700,7.3
39,Ohio,1983,1,8039000,5052776,62.9,4294851,53.4,757925,15
40,Oklahoma,1983,1,2391000,1498697,62.7,1365843,57.1,132854,8.9
41,Oregon,1983,1,2005000,1331258,66.4,1154168,57.6,177090,13.3
42,Pennsylvania,1983,1,9163000,5427006,59.2,4689325,51.2,737681,13.6
44,Rhode Island,1983,1,734000,473243,64.5,420605,57.3,52638,11.1
45,South Carolina,1983,1,2326000,1468992,63.2,1284233,55.2,184759,12.6
46,South Dakota,1983,1,501000,323994,64.7,301744,60.2,22250,6.9
47,Tennessee,1983,1,3492000,2131602,61,1836449,52.6,295153,13.8
48,Texas,1983,1,11149000,7511405,67.4,6849569,61.4,661836,8.8
49,Utah,1983,1,1034000,677109,65.5,608006,58.8,69103,10.2
50,Vermont,1983,1,389000,260486,67,238500,61.3,21986,8.4
51,Virginia,1983,1,4052000,2661900,65.7,2434660,60.1,227240,8.5
53,Washington,1983,1,3173000,2027795,63.9,1759183,55.4,268612,13.2
54,West Virginia,1983,1,1468000,751219,51.2,602067,41,149152,19.9
55,Wisconsin,1983,1,3539000,2405502,68,2092506,59.1,312996,13
56,Wyoming,1983,1,361000,259753,72,233506,64.7,26247,10.1
1,Alabama,1983,2,2903000,1730415,59.6,1452834,50,277581,16
2,Alaska,1983,2,310000,221027,71.3,194390,62.7,26637,12.1
4,Arizona,1983,2,2163000,1356073,62.7,1206004,55.8,150069,11.1
5,Arkansas,1983,2,1709000,1013290,59.3,898140,52.6,115150,11.4
6,California,1983,2,18606000,12174210,65.4,10767653,57.9,1406557,11.6
37,Los Angeles County,1983,2,5878000,3785046,64.4,3371321,57.4,413725,10.9
8,Colorado,1983,2,2295000,1622702,70.7,1477931,64.4,144771,8.9
9,Connecticut,1983,2,2426000,1586638,65.4,1468137,60.5,118501,7.5
10,Delaware,1983,2,454000,291405,64.2,265959,58.6,25446,8.7
11,District of Columbia,1983,2,483000,308883,64,273540,56.6,35343,11.4
12,Florida,1983,2,8306000,4725664,56.9,4283802,51.6,441862,9.4
13,Georgia,1983,2,4124000,2658438,64.5,2426761,58.8,231677,8.7
15,Hawaii,1983,2,701000,467227,66.7,437409,62.4,29818,6.4
16,Idaho,1983,2,686000,443613,64.7,392683,57.2,50930,11.5
17,Illinois,1983,2,8570000,5544464,64.7,4775408,55.7,769056,13.9
18,Indiana,1983,2,4052000,2543296,62.8,2203876,54.4,339420,13.3
19,Iowa,1983,2,2159000,1407327,65.2,1267519,58.7,139808,9.9
20,Kansas,1983,2,1780000,1182427,66.4,1098603,61.7,83824,7.1
21,Kentucky,1983,2,2713000,1681557,62,1459670,53.8,221887,13.2
22,Louisiana,1983,2,3146000,1841457,58.5,1621181,51.5,220276,12
23,Maine,1983,2,849000,519570,61.2,465865,54.9,53705,10.3
24,Maryland,1983,2,3239000,2147450,66.3,1966967,60.7,180483,8.4
25,Massachusetts,1983,2,4460000,2941102,65.9,2705193,60.7,235909,8
26,Michigan,1983,2,6727000,4221802,62.8,3514702,52.2,707100,16.7
27,Minnesota,1983,2,3080000,2142379,69.6,1934876,62.8,207503,9.7
28,Mississippi,1983,2,1822000,1052407,57.8,914846,50.2,137561,13.1
29,Missouri,1983,2,3717000,2306527,62.1,2040341,54.9,266186,11.5
30,Montana,1983,2,593000,388956,65.6,349752,59,39204,10.1
31,Nebraska,1983,2,1170000,787281,67.3,730529,62.4,56752,7.2
32,Nevada,1983,2,666000,483121,72.5,428237,64.3,54884,11.4
33,New Hampshire,1983,2,716000,486737,68,450406,62.9,36331,7.5
34,New Jersey,1983,2,5754000,3609133,62.7,3257889,56.6,351244,9.7
35,New Mexico,1983,2,984000,601505,61.1,536035,54.5,65470,10.9
36,New York,1983,2,13516000,7916932,58.6,7123414,52.7,793518,10
51000,New York city,1983,2,5644000,3048010,54,2740735,48.6,307275,10.1
37,North Carolina,1983,2,4468000,2875627,64.4,2563718,57.4,311909,10.8
38,North Dakota,1983,2,484000,313117,64.7,289828,59.9,23289,7.4
39,Ohio,1983,2,8037000,5031709,62.6,4294265,53.4,737444,14.7
40,Oklahoma,1983,2,2397000,1503597,62.7,1362351,56.8,141246,9.4
41,Oregon,1983,2,2005000,1329858,66.3,1157614,57.7,172244,13
42,Pennsylvania,1983,2,9166000,5385223,58.8,4653412,50.8,731811,13.6
44,Rhode Island,1983,2,734000,472542,64.4,422066,57.5,50476,10.7
45,South Carolina,1983,2,2329000,1469220,63.1,1289970,55.4,179250,12.2
46,South Dakota,1983,2,502000,325113,64.8,303613,60.5,21500,6.6
47,Tennessee,1983,2,3494000,2123333,60.8,1835399,52.5,287934,13.6
48,Texas,1983,2,11176000,7498090,67.1,6845745,61.3,652345,8.7
49,Utah,1983,2,1037000,674892,65.1,604167,58.3,70725,10.5
50,Vermont,1983,2,390000,261298,67,239484,61.4,21814,8.3
51,Virginia,1983,2,4058000,2659157,65.5,2440916,60.2,218241,8.2
53,Washington,1983,2,3175000,2024169,63.8,1758970,55.4,265199,13.1
54,West Virginia,1983,2,1468000,756775,51.6,602469,41,154306,20.4
55,Wisconsin,1983,2,3538000,2399827,67.8,2083273,58.9,316554,13.2
56,Wyoming,1983,2,362000,259741,71.8,233690,64.6,26051,10
1,Alabama,1983,3,2904000,1721778,59.3,1472564,50.7,249214,14.5
2,Alaska,1983,3,313000,222512,71.1,197189,63,25323,11.4
4,Arizona,1983,3,2169000,1353218,62.4,1213628,56,139590,10.3
5,Arkansas,1983,3,1711000,1016617,59.4,909359,53.1,107258,10.6
6,California,1983,3,18628000,12155925,65.3,10811495,58,1344430,11.1
37,Los Angeles County,1983,3,5886000,3771612,64.1,3378265,57.4,393347,10.4
8,Colorado,1983,3,2300000,1627236,70.7,1483139,64.5,144097,8.9
9,Connecticut,1983,3,2427000,1592242,65.6,1482865,61.1,109377,6.9
10,Delaware,1983,3,454000,293341,64.6,268684,59.2,24657,8.4
11,District of Columbia,1983,3,483000,310718,64.3,275568,57.1,35150,11.3
12,Florida,1983,3,8326000,4758338,57.2,4328858,52,429480,9
13,Georgia,1983,3,4129000,2656399,64.3,2441555,59.1,214844,8.1
15,Hawaii,1983,3,703000,469025,66.7,438822,62.4,30203,6.4
16,Idaho,1983,3,687000,445112,64.8,394968,57.5,50144,11.3
17,Illinois,1983,3,8571000,5550813,64.8,4811273,56.1,739540,13.3
18,Indiana,1983,3,4052000,2541890,62.7,2219182,54.8,322708,12.7
19,Iowa,1983,3,2159000,1409141,65.3,1273689,59,135452,9.6
20,Kansas,1983,3,1781000,1181004,66.3,1100848,61.8,80156,6.8
21,Kentucky,1983,3,2715000,1689865,62.2,1478643,54.5,211222,12.5
22,Louisiana,1983,3,3151000,1862396,59.1,1638706,52,223690,12
23,Maine,1983,3,850000,522750,61.5,471187,55.4,51563,9.9
24,Maryland,1983,3,3240000,2161004,66.7,1991303,61.5,169701,7.9
25,Massachusetts,1983,3,4462000,2946049,66,2717885,60.9,228164,7.7
26,Michigan,1983,3,6723000,4220993,62.8,3530881,52.5,690112,16.3
27,Minnesota,1983,3,3081000,2154024,69.9,1948227,63.2,205797,9.6
28,Mississippi,1983,3,1823000,1052685,57.7,918029,50.4,134656,12.8
29,Missouri,1983,3,3720000,2322649,62.4,2064495,55.5,258154,11.1
30,Montana,1983,3,594000,391388,65.9,352353,59.3,39035,10
31,Nebraska,1983,3,1171000,787622,67.3,735012,62.8,52610,6.7
32,Nevada,1983,3,667000,482712,72.4,430245,64.5,52467,10.9
33,New Hampshire,1983,3,717000,489818,68.3,455593,63.5,34225,7
34,New Jersey,1983,3,5760000,3617984,62.8,3282488,57,335496,9.3
35,New Mexico,1983,3,986000,599278,60.8,535060,54.3,64218,10.7
36,New York,1983,3,13523000,7924981,58.6,7163497,53,761484,9.6
51000,New York city,1983,3,5649000,3055389,54.1,2749322,48.7,306067,10
37,North Carolina,1983,3,4472000,2870762,64.2,2581127,57.7,289635,10.1
38,North Dakota,1983,3,485000,314874,64.9,291563,60.1,23311,7.4
39,Ohio,1983,3,8036000,5042836,62.8,4332182,53.9,710654,14.1
40,Oklahoma,1983,3,2403000,1517976,63.2,1380958,57.5,137018,9
41,Oregon,1983,3,2005000,1329727,66.3,1166115,58.2,163612,12.3
42,Pennsylvania,1983,3,9169000,5403856,58.9,4693927,51.2,709929,13.1
44,Rhode Island,1983,3,734000,470018,64,423493,57.7,46525,9.9
45,South Carolina,1983,3,2331000,1472961,63.2,1307717,56.1,165244,11.2
46,South Dakota,1983,3,502000,328355,65.4,306874,61.1,21481,6.5
47,Tennessee,1983,3,3496000,2123165,60.7,1853046,53,270119,12.7
48,Texas,1983,3,11203000,7531296,67.2,6899926,61.6,631370,8.4
49,Utah,1983,3,1040000,673351,64.7,605601,58.2,67750,10.1
50,Vermont,1983,3,390000,261879,67.1,241342,61.9,20537,7.8
51,Virginia,1983,3,4063000,2676344,65.9,2474077,60.9,202267,7.6
53,Washington,1983,3,3177000,2033828,64,1778929,56,254899,12.5
54,West Virginia,1983,3,1469000,752364,51.2,603714,41.1,148650,19.8
55,Wisconsin,1983,3,3538000,2394992,67.7,2087795,59,307197,12.8
56,Wyoming,1983,3,362000,263210,72.7,235524,65.1,27686,10.5
1,Alabama,1983,4,2906000,1725219,59.4,1489053,51.2,236166,13.7
2,Alaska,1983,4,315000,223113,70.8,199866,63.4,23247,10.4
4,Arizona,1983,4,2175000,1355246,62.3,1227731,56.4,127515,9.4
5,Arkansas,1983,4,1713000,1024374,59.8,923184,53.9,101190,9.9
6,California,1983,4,18649000,12135947,65.1,10872454,58.3,1263493,10.4
37,Los Angeles County,1983,4,5895000,3767885,63.9,3388893,57.5,378992,10.1
8,Colorado,1983,4,2305000,1634306,70.9,1502117,65.2,132189,8.1
9,Connecticut,1983,4,2428000,1595853,65.7,1494105,61.5,101748,6.4
10,Delaware,1983,4,455000,293265,64.5,270071,59.4,23194,7.9
11,District of Columbia,1983,4,483000,313270,64.9,279292,57.8,33978,10.8
12,Florida,1983,4,8346000,4774750,57.2,4367568,52.3,407182,8.5
13,Georgia,1983,4,4134000,2646157,64,2444149,59.1,202008,7.6
15,Hawaii,1983,4,704000,469359,66.7,439951,62.5,29408,6.3
16,Idaho,1983,4,687000,444827,64.7,401213,58.4,43614,9.8
17,Illinois,1983,4,8573000,5548963,64.7,4845110,56.5,703853,12.7
18,Indiana,1983,4,4053000,2539185,62.6,2248148,55.5,291037,11.5
19,Iowa,1983,4,2159000,1412053,65.4,1284636,59.5,127417,9
20,Kansas,1983,4,1782000,1179407,66.2,1107905,62.2,71502,6.1
21,Kentucky,1983,4,2717000,1684012,62,1489871,54.8,194141,11.5
22,Louisiana,1983,4,3155000,1877397,59.5,1657504,52.5,219893,11.7
23,Maine,1983,4,851000,525378,61.7,477185,56.1,48193,9.2
24,Maryland,1983,4,3242000,2157556,66.6,2003154,61.8,154402,7.2
25,Massachusetts,1983,4,4465000,2935412,65.7,2731485,61.2,203927,6.9
26,Michigan,1983,4,6720000,4220273,62.8,3572924,53.2,647349,15.3
27,Minnesota,1983,4,3082000,2160670,70.1,1974309,64.1,186361,8.6
28,Mississippi,1983,4,1823000,1055160,57.9,923946,50.7,131214,12.4
29,Missouri,1983,4,3722000,2335030,62.7,2093252,56.2,241778,10.4
30,Montana,1983,4,595000,393821,66.2,358674,60.3,35147,8.9
31,Nebraska,1983,4,1171000,791087,67.6,742659,63.4,48428,6.1
32,Nevada,1983,4,668000,482020,72.2,433834,64.9,48186,10
33,New Hampshire,1983,4,718000,487400,67.9,458014,63.8,29386,6
34,New Jersey,1983,4,5766000,3606608,62.5,3308410,57.4,298198,8.3
35,New Mexico,1983,4,988000,598924,60.6,540276,54.7,58648,9.8
36,New York,1983,4,13530000,7903928,58.4,7198484,53.2,705444,8.9
51000,New York city,1983,4,5655000,3036869,53.7,2749994,48.6,286875,9.4
37,North Carolina,1983,4,4476000,2883437,64.4,2611980,58.4,271457,9.4
38,North Dakota,1983,4,486000,317486,65.3,296998,61.1,20488,6.5
39,Ohio,1983,4,8034000,5039930,62.7,4379960,54.5,659970,13.1
40,Oklahoma,1983,4,2409000,1523054,63.2,1397887,58,125167,8.2
41,Oregon,1983,4,2005000,1329755,66.3,1181375,58.9,148380,11.2
42,Pennsylvania,1983,4,9171000,5395981,58.8,4735580,51.6,660401,12.2
44,Rhode Island,1983,4,734000,469153,63.9,428525,58.4,40628,8.7
45,South Carolina,1983,4,2334000,1477395,63.3,1324802,56.8,152593,10.3
46,South Dakota,1983,4,503000,332294,66.1,313005,62.2,19289,5.8
47,Tennessee,1983,4,3498000,2132290,61,1877132,53.7,255158,12
48,Texas,1983,4,11229000,7546831,67.2,6945260,61.9,601571,8
49,Utah,1983,4,1042000,674121,64.7,610372,58.6,63749,9.5
50,Vermont,1983,4,391000,260295,66.6,240925,61.6,19370,7.4
51,Virginia,1983,4,4068000,2678206,65.8,2500623,61.5,177583,6.6
53,Washington,1983,4,3179000,2016697,63.4,1789424,56.3,227273,11.3
54,West Virginia,1983,4,1470000,760328,51.7,617097,42,143231,18.8
55,Wisconsin,1983,4,3538000,2379339,67.3,2113769,59.7,265570,11.2
56,Wyoming,1983,4,363000,261143,71.9,233456,64.3,27687,10.6
1,Alabama,1983,5,2908000,1726883,59.4,1497390,51.5,229493,13.3
2,Alaska,1983,5,318000,230842,72.6,208072,65.4,22770,9.9
4,Arizona,1983,5,2181000,1356750,62.2,1231663,56.5,125087,9.2
5,Arkansas,1983,5,1715000,1028420,60,926853,54,101567,9.9
6,California,1983,5,18671000,12136124,65,10955374,58.7,1180750,9.7
37,Los Angeles County,1983,5,5903000,3755407,63.6,3394390,57.5,361017,9.6
8,Colorado,1983,5,2310000,1639580,71,1517046,65.7,122534,7.5
9,Connecticut,1983,5,2430000,1604916,66,1506437,62,98479,6.1
10,Delaware,1983,5,455000,292208,64.2,270165,59.4,22043,7.5
11,District of Columbia,1983,5,483000,313597,64.9,278342,57.6,35255,11.2
12,Florida,1983,5,8366000,4835597,57.8,4422028,52.9,413569,8.6
13,Georgia,1983,5,4139000,2655876,64.2,2451591,59.2,204285,7.7
15,Hawaii,1983,5,706000,467905,66.3,438962,62.2,28943,6.2
16,Idaho,1983,5,688000,447795,65.1,411681,59.8,36114,8.1
17,Illinois,1983,5,8574000,5555477,64.8,4871356,56.8,684121,12.3
18,Indiana,1983,5,4053000,2553239,63,2267717,56,285522,11.2
19,Iowa,1983,5,2159000,1406111,65.1,1292407,59.9,113704,8.1
20,Kansas,1983,5,1783000,1175491,65.9,1108879,62.2,66612,5.7
21,Kentucky,1983,5,2719000,1696156,62.4,1497240,55.1,198916,11.7
22,Louisiana,1983,5,3160000,1890804,59.8,1663686,52.6,227118,12
23,Maine,1983,5,852000,531388,62.4,484621,56.9,46767,8.8
24,Maryland,1983,5,3243000,2174647,67.1,2019975,62.3,154672,7.1
25,Massachusetts,1983,5,4467000,2944701,65.9,2745453,61.5,199248,6.8
26,Michigan,1983,5,6716000,4276610,63.7,3637331,54.2,639279,14.9
27,Minnesota,1983,5,3083000,2166199,70.3,1996293,64.8,169906,7.8
28,Mississippi,1983,5,1824000,1057709,58,924876,50.7,132833,12.6
29,Missouri,1983,5,3724000,2338003,62.8,2101677,56.4,236326,10.1
30,Montana,1983,5,596000,395071,66.3,362101,60.8,32970,8.3
31,Nebraska,1983,5,1172000,790746,67.5,746503,63.7,44243,5.6
32,Nevada,1983,5,669000,482441,72.1,436766,65.3,45675,9.5
33,New Hampshire,1983,5,719000,491261,68.3,464309,64.6,26952,5.5
34,New Jersey,1983,5,5772000,3627532,62.8,3329757,57.7,297775,8.2
35,New Mexico,1983,5,990000,600094,60.6,541527,54.7,58567,9.8
36,New York,1983,5,13537000,7922738,58.5,7219982,53.3,702756,8.9
51000,New York city,1983,5,5660000,3024770,53.4,2736705,48.4,288065,9.5
37,North Carolina,1983,5,4480000,2913460,65,2640672,58.9,272788,9.4
38,North Dakota,1983,5,487000,320764,65.9,303436,62.3,17328,5.4
39,Ohio,1983,5,8032000,5062992,63,4419462,55,643530,12.7
40,Oklahoma,1983,5,2415000,1534455,63.5,1398522,57.9,135933,8.9
41,Oregon,1983,5,2006000,1327296,66.2,1189044,59.3,138252,10.4
42,Pennsylvania,1983,5,9174000,5421397,59.1,4776947,52.1,644450,11.9
44,Rhode Island,1983,5,735000,469085,63.8,430719,58.6,38366,8.2
45,South Carolina,1983,5,2337000,1485174,63.6,1336593,57.2,148581,10
46,South Dakota,1983,5,503000,335274,66.7,317444,63.1,17830,5.3
47,Tennessee,1983,5,3501000,2144457,61.3,1895365,54.1,249092,11.6
48,Texas,1983,5,11256000,7551776,67.1,6948244,61.7,603532,8
49,Utah,1983,5,1045000,678562,64.9,617115,59.1,61447,9.1
50,Vermont,1983,5,391000,262512,67.1,244535,62.5,17977,6.8
51,Virginia,1983,5,4073000,2693065,66.1,2518453,61.8,174612,6.5
53,Washington,1983,5,3182000,2024736,63.6,1800933,56.6,223803,11.1
54,West Virginia,1983,5,1471000,764533,52,625460,42.5,139073,18.2
55,Wisconsin,1983,5,3538000,2379855,67.3,2136177,60.4,243678,10.2
56,Wyoming,1983,5,363000,258292,71.2,235018,64.7,23274,9
1,Alabama,1983,6,2909000,1779627,61.2,1519589,52.2,260038,14.6
2,Alaska,1983,6,320000,240077,75,216570,67.7,23507,9.8
4,Arizona,1983,6,2187000,1400438,64,1260751,57.6,139687,10
5,Arkansas,1983,6,1716000,1052688,61.3,944549,55,108139,10.3
6,California,1983,6,18693000,12355281,66.1,11103304,59.4,1251977,10.1
37,Los Angeles County,1983,6,5912000,3842568,65,3425099,57.9,417469,10.9
8,Colorado,1983,6,2315000,1698641,73.4,1565808,67.6,132833,7.8
9,Connecticut,1983,6,2431000,1647264,67.8,1540770,63.4,106494,6.5
10,Delaware,1983,6,456000,298939,65.6,274091,60.1,24848,8.3
11,District of Columbia,1983,6,483000,324090,67.1,286029,59.2,38061,11.7
12,Florida,1983,6,8386000,4992569,59.5,4529498,54,463071,9.3
13,Georgia,1983,6,4144000,2711909,65.4,2478463,59.8,233446,8.6
15,Hawaii,1983,6,707000,475024,67.2,441698,62.5,33326,7
16,Idaho,1983,6,689000,463584,67.3,425387,61.7,38197,8.2
17,Illinois,1983,6,8576000,5747820,67,5013221,58.5,734599,12.8
18,Indiana,1983,6,4054000,2619051,64.6,2323608,57.3,295443,11.3
19,Iowa,1983,6,2159000,1436490,66.5,1321490,61.2,115000,8
20,Kansas,1983,6,1784000,1214299,68.1,1139392,63.9,74907,6.2
21,Kentucky,1983,6,2721000,1744225,64.1,1529336,56.2,214889,12.3
22,Louisiana,1983,6,3165000,1964290,62.1,1703363,53.8,260927,13.3
23,Maine,1983,6,853000,547603,64.2,502118,58.9,45485,8.3
24,Maryland,1983,6,3245000,2231070,68.8,2061309,63.5,169761,7.6
25,Massachusetts,1983,6,4470000,3043538,68.1,2826656,63.2,216882,7.1
26,Michigan,1983,6,6712000,4395966,65.5,3738687,55.7,657279,15
27,Minnesota,1983,6,3084000,2209294,71.6,2020715,65.5,188579,8.5
28,Mississippi,1983,6,1825000,1097833,60.2,941046,51.6,156787,14.3
29,Missouri,1983,6,3727000,2421579,65,2165607,58.1,255972,10.6
30,Montana,1983,6,596000,403652,67.7,368336,61.8,35316,8.7
31,Nebraska,1983,6,1173000,799784,68.2,754001,64.3,45783,5.7
32,Nevada,1983,6,670000,488428,72.9,439954,65.7,48474,9.9
33,New Hampshire,1983,6,720000,504448,70.1,477254,66.3,27194,5.4
34,New Jersey,1983,6,5777000,3743549,64.8,3427839,59.3,315710,8.4
35,New Mexico,1983,6,992000,617764,62.3,550009,55.4,67755,11
36,New York,1983,6,13544000,8172545,60.3,7435117,54.9,737428,9
51000,New York city,1983,6,5666000,3071398,54.2,2761339,48.7,310059,10.1
37,North Carolina,1983,6,4484000,2998039,66.9,2703872,60.3,294167,9.8
38,North Dakota,1983,6,487000,330976,68,311552,64,19424,5.9
39,Ohio,1983,6,8031000,5172558,64.4,4498371,56,674187,13
40,Oklahoma,1983,6,2421000,1575396,65.1,1431631,59.1,143765,9.1
41,Oregon,1983,6,2006000,1352609,67.4,1212082,60.4,140527,10.4
42,Pennsylvania,1983,6,9176000,5580778,60.8,4906462,53.5,674316,12.1
44,Rhode Island,1983,6,735000,480077,65.3,440870,60,39207,8.2
45,South Carolina,1983,6,2339000,1517318,64.9,1356828,58,160490,10.6
46,South Dakota,1983,6,504000,342561,68,325243,64.5,17318,5.1
47,Tennessee,1983,6,3503000,2230588,63.7,1950094,55.7,280494,12.6
48,Texas,1983,6,11282000,7762316,68.8,7063200,62.6,699116,9
49,Utah,1983,6,1048000,695032,66.3,628739,60,66293,9.5
50,Vermont,1983,6,392000,268085,68.4,251324,64.1,16761,6.3
51,Virginia,1983,6,4078000,2770204,67.9,2583772,63.4,186432,6.7
53,Washington,1983,6,3184000,2075625,65.2,1844025,57.9,231600,11.2
54,West Virginia,1983,6,1471000,782097,53.2,641141,43.6,140956,18
55,Wisconsin,1983,6,3538000,2466783,69.7,2208265,62.4,258518,10.5
56,Wyoming,1983,6,364000,264595,72.7,242263,66.6,22332,8.4
1,Alabama,1983,7,2911000,1782596,61.2,1535700,52.8,246896,13.9
2,Alaska,1983,7,323000,244283,75.6,223409,69.2,20874,8.5
4,Arizona,1983,7,2193000,1406615,64.1,1278596,58.3,128019,9.1
5,Arkansas,1983,7,1718000,1054224,61.4,948448,55.2,105776,10
6,California,1983,7,18715000,12455134,66.6,11241028,60.1,1214106,9.7
37,Los Angeles County,1983,7,5920000,3855606,65.1,3463917,58.5,391689,10.2
8,Colorado,1983,7,2320000,1705187,73.5,1592797,68.7,112390,6.6
9,Connecticut,1983,7,2432000,1665905,68.5,1565215,64.4,100690,6
10,Delaware,1983,7,456000,300614,65.9,276969,60.7,23645,7.9
11,District of Columbia,1983,7,483000,330672,68.5,292889,60.6,37783,11.4
12,Florida,1983,7,8406000,5071694,60.3,4626559,55,445135,8.8
13,Georgia,1983,7,4149000,2734558,65.9,2515290,60.6,219268,8
15,Hawaii,1983,7,709000,479890,67.7,449957,63.5,29933,6.2
16,Idaho,1983,7,690000,465353,67.4,427837,62,37516,8.1
17,Illinois,1983,7,8577000,5730983,66.8,5073963,59.2,657020,11.5
18,Indiana,1983,7,4054000,2622655,64.7,2351102,58,271553,10.4
19,Iowa,1983,7,2159000,1448850,67.1,1344907,62.3,103943,7.2
20,Kansas,1983,7,1785000,1213626,68,1146267,64.2,67359,5.6
21,Kentucky,1983,7,2723000,1718828,63.1,1523877,56,194951,11.3
22,Louisiana,1983,7,3170000,1969373,62.1,1733468,54.7,235905,12
23,Maine,1983,7,854000,560237,65.6,514739,60.3,45498,8.1
24,Maryland,1983,7,3246000,2249975,69.3,2095478,64.6,154497,6.9
25,Massachusetts,1983,7,4472000,3057618,68.4,2856057,63.9,201561,6.6
26,Michigan,1983,7,6708000,4378434,65.3,3767544,56.2,610890,14
27,Minnesota,1983,7,3085000,2205855,71.5,2046216,66.3,159639,7.2
28,Mississippi,1983,7,1826000,1090632,59.7,955344,52.3,135288,12.4
29,Missouri,1983,7,3729000,2406841,64.5,2176831,58.4,230010,9.6
30,Montana,1983,7,597000,408498,68.4,375343,62.9,33155,8.1
31,Nebraska,1983,7,1174000,800865,68.2,759589,64.7,41276,5.2
32,Nevada,1983,7,671000,491462,73.2,444410,66.2,47052,9.6
33,New Hampshire,1983,7,721000,512780,71.1,486908,67.5,25872,5
34,New Jersey,1983,7,5783000,3795193,65.6,3488976,60.3,306217,8.1
35,New Mexico,1983,7,994000,621392,62.5,557615,56.1,63777,10.3
36,New York,1983,7,13551000,8284243,61.1,7573270,55.9,710973,8.6
51000,New York city,1983,7,5671000,3114271,54.9,2801557,49.4,312714,10
37,North Carolina,1983,7,4488000,3031460,67.5,2765283,61.6,266177,8.8
38,North Dakota,1983,7,488000,331170,67.9,314674,64.5,16496,5
39,Ohio,1983,7,8029000,5184391,64.6,4574480,57,609911,11.8
40,Oklahoma,1983,7,2427000,1575121,64.9,1446169,59.6,128952,8.2
41,Oregon,1983,7,2006000,1357156,67.7,1219541,60.8,137615,10.1
42,Pennsylvania,1983,7,9179000,5618030,61.2,4992619,54.4,625411,11.1
44,Rhode Island,1983,7,735000,483772,65.8,444455,60.5,39317,8.1
45,South Carolina,1983,7,2342000,1508343,64.4,1370534,58.5,137809,9.1
46,South Dakota,1983,7,504000,344753,68.4,329332,65.3,15421,4.5
47,Tennessee,1983,7,3505000,2231255,63.7,1985183,56.6,246072,11
48,Texas,1983,7,11309000,7780439,68.8,7147621,63.2,632818,8.1
49,Utah,1983,7,1051000,697153,66.3,638407,60.7,58746,8.4
50,Vermont,1983,7,392000,270326,69,254972,65,15354,5.7
51,Virginia,1983,7,4083000,2800523,68.6,2634498,64.5,166025,5.9
