state,date,gdp,gdp_growth_rate,unemployment_rate,edu_attainment
"Georgia","2013","449796.1","1.4","8.2","25.15",
"Hawaii","2013","74294.1","0.8","4.89","27.38",
"Idaho","2013","59966.8","3.8","6.12","24.19",
"Illinois","2013","719922.2","-0.1","9.05","29.04",
"Indiana","2013","303966.8","2.1","7.66","21.19",
"Iowa","2013","157902.5","0","4.74","23.14",
"Kansas","2013","140355.8","-0.3","5.3","27.55",
"Kentucky","2013","179499.1","1.8","8.01","20.17",
"Louisiana","2013","226345.4","-3.1","6.7","19.18",
"Maine","2013","52456.3","-0.8","6.65","24.49",
"Maryland","2013","334431","0","6.58","33.44",
"Massachusetts","2013","446190.4","0.4","6.72","36.61",
"Michigan","2013","425327.3","1.6","8.8","24.56",
"Minnesota","2013","303222.5","2.3","4.96","29.84",
"Mississippi","2013","99456.4","-0.2","8.54","17.07",
"Missouri","2013","271475.9","1","6.71","24.47",
"Montana","2013","42429.7","0.9","5.42","24.74",
"Nebraska","2013","103974.8","1.3","3.77","25.87",
"Nevada","2013","128341.2","0.4","9.63","20.58",
"New Hampshire","2013","68124.5","0.7","5.09","31.41",
"New Jersey","2013","526889.9","1.4","8.24","34.22",
"New Mexico","2013","86624.8","-1.2","6.94","22.66",
"New York","2013","1325490","0.2","7.72","30.71",
"North Carolina","2013","445109.6","1.3","7.99","25.16",
"North Dakota","2013","52385.5","1.5","2.91","22.26",
"Ohio","2013","550692.3","1.8","7.45","23.95",
"Oklahoma","2013","176862.6","2.1","5.28","21.18",
"Oregon","2013","175811.6","0.8","7.87","28.08",
"Pennsylvania","2013","650802.3","1.6","7.37","26.49",
"Rhode Island","2013","51679","0.1","9.26","30.11",
"South Carolina","2013","178757.4","2","7.64","23.56",
"South Dakota","2013","43737.7","0.4","3.79","23.14",
"Tennessee","2013","287259","1.3","7.79","22.24",
"Texas","2013","1470464.6","4.3","6.26","24.66",
"Utah","2013","132169.1","2.6","4.58","28.72",
"Vermont","2013","28367.9","-1.8","4.42","29.61",
"Virginia","2013","446625","0.3","5.71","33.09",
"Washington","2013","411468.9","2.7","7.04","29.86",
"West Virginia","2013","70121.2","1.1","6.78","16.81",
"Wisconsin","2013","275648.7","0.4","6.73","24.31",
"Wyoming","2013","38523.2","0.2","4.72","23.09",
"Alabama","2014","187568","-0.7","6.78","20.81",
"Alaska","2014","53480.6","-2.3","6.86","22.07",
"Arizona","2014","274112.9","1.5","6.79","25",
"Arkansas","2014","111729.9","1.3","6.02","18.9",
"California","2014","2316331.2","4.4","7.5","28.77",
"Colorado","2014","294812","4.3","5","33.91",
"Connecticut","2014","237700.4","-0.4","6.62","34.72",
"Delaware","2014","64123.6","7.8","5.72","26.8",
"District of Columbia","2014","114814.8","1.8","7.76","49.74",
"Florida","2014","806029.4","2.8","6.28","25.51",
"Georgia","2014","465137.8","3.4","7.08","25.57",
"Hawaii","2014","74490.6","0.3","4.35","27",
"Idaho","2014","61663.2","2.8","4.83","23.11",
"Illinois","2014","735876.3","2.2","7.09","29.83",
